ID,公司名称,联系人,职位,邮箱,电话,业务类型,发动机类型,飞机型号,业务描述,业务价值评分,紧急程度,优先级,发布时间,发布时间(天前),反应数,评论数,分享数
6,Sky Aviation Solutions,杨丽,业务发展经理,杨丽93@outlook.com,+86-16548287812,MRO服务,N/A,A380-800,全面的MRO服务，涵盖发动机维修,4,否,高,2026-02-24 10:34,4,35,7,11
12,Asian Aircraft,杨静,维修经理,杨静41@outlook.com,+86-15720848071,技术支援,CFM56-3,N/A,提供飞机技术支援和工程服务,4,否,高,2026-02-24 14:38,6,18,23,8
13,Pacific Aviation Group,李磊,租赁经理,李磊66@outlook.com,+86-18490206620,飞机租赁,CF6-80E1,N/A,飞机租赁，湿租/干租方案,4,否,高,2026-02-24 13:06,5,8,11,2
16,International Aviation Solutions,张芳,资产经理,张芳42@company.com,+86-19562447410,飞机整机买卖,JT9D,N/A,飞机整机买卖，提供融资方案,4,是,高,2026-02-24 13:39,3,47,9,4
24,Global Aviation Solutions,陈伟,销售总监,陈伟2@gmail.com,+86-15864113521,部件维修,V2500,A321neo,航空部件维修，包括V2500相关部件,4,是,高,2026-02-24 09:48,4,139,29,11
25,Sky Aviation Solutions,赵伟,技术总监,赵伟24@gmail.com,+86-19829352381,飞机整机买卖,N/A,N/A,飞机整机买卖，提供融资方案,4,否,高,2026-02-24 12:46,4,74,4,12
28,European Aircraft,吴丽,销售总监,吴丽46@gmail.com,+86-14119716700,航材交易,N/A,A330-300,供应航空相关航材，库存充足，价格优惠,4,否,高,2026-02-24 09:36,2,66,3,2
41,International Aero Parts,赵娜,业务发展经理,赵娜79@outlook.com,+86-19590158613,航材采购,PW4000,A380-800,专业航材采购服务，寻找PW4000航材,4,是,高,2026-02-24 16:06,2,114,19,0
50,European Aerospace,吴芳,资产经理,吴芳81@company.com,+86-16432938927,资产管理,Trent 800,N/A,航空资产管理和投资服务，专注于飞机,4,否,高,2026-02-24 15:05,6,121,25,20
2,Jet Aero Parts,刘静,销售总监,刘静2@outlook.com,+86-15394403513,部件维修,Trent 700,B767-300ER,航空部件维修，包括Trent 700相关部件,3,是,中,2026-02-24 16:33,6,49,4,2
5,Global Aviation Solutions,刘秀英,资产经理,刘秀英78@outlook.com,+86-14060109719,航材采购,CF6-80C2,N/A,专业航材采购服务，寻找CF6-80C2航材,3,否,中,2026-02-24 13:59,4,31,8,16
8,Global Aircraft,黄磊,维修经理,黄磊35@company.com,+86-17819294417,USM零件供应,CF6-80E1,N/A,USM零件供应，CF6-80E1相关部件,3,是,中,2026-02-24 16:53,3,132,7,9
10,Air Aero Services,王伟,航材经理,王伟1@aviation.com,+86-17014221406,部件维修,N/A,N/A,航空部件维修，包括发动机相关部件,3,否,中,2026-02-24 10:23,5,61,13,8
14,International Aviation,吴静,业务发展经理,吴静34@aviation.com,+86-18924235725,USM零件供应,PW4000,N/A,USM零件供应，PW4000相关部件,3,否,中,2026-02-24 17:36,7,140,3,13
15,Aero Aviation Solutions,王丽,租赁经理,王丽73@outlook.com,+86-14248515281,航材交易,PW4000,N/A,供应PW4000相关航材，库存充足，价格优惠,3,否,中,2026-02-24 15:04,1,71,12,0
20,Asian Aero Services,刘军,资产经理,刘军10@company.com,+86-19271326537,USM零件供应,CFM56-3,N/A,USM零件供应，CFM56-3相关部件,3,否,中,2026-02-24 09:29,6,34,30,15
21,Pacific Aviation Group,李静,航材经理,李静82@company.com,+86-19266607797,发动机租赁,N/A,N/A,提供航空发动机租赁服务，短期/长期租赁方案,3,否,中,2026-02-24 13:00,4,29,13,18
26,Jet Aviation Solutions,周静,航材经理,周静44@company.com,+86-15837471649,飞机租赁,N/A,N/A,飞机租赁，湿租/干租方案,3,否,中,2026-02-24 16:11,3,120,4,4
30,Wing Aircraft,杨军,航材经理,杨军43@outlook.com,+86-19468175849,发动机租赁,N/A,B737-800,提供航空发动机租赁服务，短期/长期租赁方案,3,是,中,2026-02-24 09:09,6,107,13,19
31,Asian Aviation,周敏,资产经理,周敏49@company.com,+86-18377105294,航材交易,N/A,A350-900,供应航空相关航材，库存充足，价格优惠,3,否,中,2026-02-24 11:00,3,20,1,3
33,Jet Aerospace,王敏,采购经理,王敏31@outlook.com,+86-16936768264,飞机租赁,CFM56-5B,B767-300ER,B767-300ER租赁，湿租/干租方案,3,是,中,2026-02-24 16:05,3,63,25,12
38,International Aircraft,张磊,技术总监,张磊72@outlook.com,+86-14686351593,发动机大修,RB211-535E4,B767-300ER,RB211-535E4大修服务，快速周转,3,是,中,2026-02-24 17:52,1,86,30,19
40,Aero Aero Services,黄丽,销售总监,黄丽90@outlook.com,+86-16970812954,MRO服务,PW4000,B777-200LR,全面的MRO服务，涵盖PW4000维修,3,否,中,2026-02-24 11:51,1,132,7,11
45,Asian Aviation Solutions,黄芳,资产经理,黄芳1@gmail.com,+86-18941788473,航材交易,N/A,A380-800,供应航空相关航材，库存充足，价格优惠,3,是,中,2026-02-24 10:35,5,25,5,1
46,Sky Aerospace,周丽,租赁经理,周丽33@aviation.com,+86-19099103212,发动机大修,PW4000,A321neo,PW4000大修服务，快速周转,3,否,中,2026-02-24 12:28,6,138,10,10
48,Flight Aero Services,黄伟,采购经理,黄伟83@outlook.com,+86-14520117750,发动机大修,N/A,N/A,航空发动机大修服务，快速周转,3,是,中,2026-02-24 16:26,4,36,16,6
